u0,v0,u1,v1,u2,v2,u3,v3
81.0,97.5,64.5,96.5,81.0,79.0,64.5,79.5
79.5,98.0,62.0,98.0,78.5,81.5,62.5,81.0
78.0,99.5,60.5,99.0,77.0,82.0,60.5,81.5
76.0,100.0,59.0,100.0,75.0,83.0,59.0,82.5
74.5,101.5,57.0,101.5,74.0,84.0,57.5,83.5
73.0,103.0,55.5,102.5,72.5,84.5,56.0,85.0
72.0,103.5,54.5,103.5,71.0,86.0,54.5,86.0
70.0,105.0,53.0,105.0,70.0,87.0,53.0,87.0
68.0,106.0,51.0,106.0,69.0,88.0,52.5,87.5
67.5,107.5,50.0,107.0,67.5,89.0,51.0,89.0
67.0,108.0,49.0,108.0,66.0,89.0,49.5,89.5
66.0,109.0,47.5,109.0,65.0,90.0,49.0,90.0
65.0,109.0,48.0,109.0,65.0,90.0,48.0,91.0
64.0,109.5,47.0,110.0,64.0,91.0,48.0,91.0
63.5,110.5,45.5,110.5,63.0,92.0,47.0,92.0
63.0,110.0,46.0,111.0,63.0,92.0,46.0,93.0
62.0,111.0,45.0,112.0,63.0,92.0,46.0,93.0
62.0,112.0,45.0,112.0,63.0,92.0,46.0,93.0
62.0,112.0,44.0,113.0,62.5,92.5,45.0,94.0
62.0,112.0,44.0,113.0,62.0,93.0,45.0,94.0
62.0,112.0,44.0,113.0,62.0,93.0,45.0,94.0
62.0,113.0,44.0,113.0,62.0,93.0,46.0,94.0
62.5,112.5,45.0,113.0,63.0,93.5,46.0,94.0
63.0,112.0,45.0,113.0,63.0,94.0,46.0,94.0
63.5,112.5,46.0,113.0,63.5,93.5,47.0,94.0
64.0,112.0,46.0,113.0,64.0,93.0,47.0,94.0
65.0,112.0,47.0,113.0,65.0,93.0,48.0,93.0
66.0,112.0,48.0,112.0,66.0,93.0,50.0,93.0
67.0,111.0,49.0,112.0,67.0,92.0,50.0,93.0
68.0,111.0,51.0,111.0,68.0,92.0,51.0,92.0
69.0,111.0,52.0,110.0,69.5,91.5,52.0,92.0
70.5,110.0,53.0,110.0,70.5,90.5,54.0,91.0
72.0,109.0,54.0,109.0,71.0,90.0,54.5,90.5
73.0,109.0,56.0,109.0,73.0,90.0,55.5,89.5
75.0,108.0,57.0,108.0,73.5,89.5,57.5,89.5
76.0,108.0,58.5,107.0,75.0,89.0,58.5,88.5
77.5,105.5,60.0,105.0,76.5,87.5,60.0,87.0
78.5,105.0,61.5,104.5,78.5,86.5,61.5,86.0
80.5,103.5,62.5,103.5,80.0,85.0,63.0,85.0
82.0,103.0,64.5,102.0,81.0,85.0,64.5,84.5
83.5,101.5,65.5,101.5,82.5,83.5,65.5,83.5
85.0,100.5,67.0,100.0,84.0,83.0,67.0,82.0
86.0,99.5,68.5,99.0,85.0,81.5,68.5,81.5
88.0,98.0,70.0,97.5,86.5,81.0,70.0,80.0
88.5,97.5,70.0,97.0,88.0,80.0,70.0,79.0
89.5,96.0,72.0,95.5,88.0,79.0,71.5,78.0
91.0,95.0,73.0,95.0,90.0,77.0,72.5,77.5
92.0,94.0,74.0,93.0,90.5,76.5,74.0,75.5
93.0,92.5,75.0,92.0,92.5,75.5,75.0,75.0
94.0,91.5,76.0,91.0,93.0,74.0,76.0,73.5
94.5,90.0,77.0,90.0,94.0,73.0,76.5,72.0
95.5,89.5,77.5,88.5,94.5,72.0,77.5,71.5
96.0,89.0,77.5,87.5,96.0,71.0,78.0,71.5
97.0,87.0,78.0,86.0,96.0,70.0,79.0,70.0
97.0,86.0,79.0,85.0,96.5,68.5,78.5,68.5
97.0,85.0,78.5,84.5,97.0,68.0,79.0,68.0
98.0,84.0,79.0,84.0,97.0,67.0,79.0,67.0
98.0,83.0,78.5,82.5,97.0,66.0,78.5,66.5
97.0,82.0,79.0,82.0,97.0,66.0,79.0,65.0
97.5,81.5,79.0,81.0,97.5,64.5,78.5,64.5
97.5,80.5,78.5,80.5,97.0,64.0,78.5,62.5
97.0,80.0,79.0,80.0,96.0,63.0,78.5,62.5
96.0,79.0,78.0,78.0,96.0,62.0,78.0,62.0
96.0,78.0,77.5,78.5,95.5,62.0,77.0,61.0
95.0,78.0,76.0,78.0,94.0,61.0,77.0,61.0
94.0,78.0,76.0,77.0,93.5,60.5,75.5,60.0
93.0,77.0,75.0,77.0,92.0,60.0,75.0,60.0
92.0,77.0,74.0,76.0,91.0,60.0,74.0,60.0
90.0,76.5,72.5,76.5,90.5,60.0,73.0,60.0
89.5,76.5,72.5,76.5,89.0,60.0,72.5,59.5
88.5,76.5,71.0,76.0,88.0,59.5,70.0,59.0
86.5,76.0,69.0,76.0,86.0,59.0,69.0,59.0
85.0,76.0,68.0,76.0,85.5,59.5,67.0,60.0
84.0,76.0,66.5,76.5,83.0,60.0,66.0,59.0
82.5,76.5,65.0,76.0,82.5,60.0,65.0,60.0
81.0,76.5,64.0,76.5,81.0,60.0,64.0,60.0
79.5,77.5,62.0,77.0,79.0,60.5,62.5,60.5
77.5,77.5,61.0,78.0,77.5,61.5,60.5,61.0
76.0,78.0,59.0,78.0,76.0,62.0,59.0,61.5
75.0,78.0,57.5,79.0,75.0,62.0,57.0,62.0
73.5,79.5,56.5,79.0,73.0,63.0,56.5,62.5
72.5,80.5,55.0,80.0,72.0,64.0,55.0,64.0
70.5,81.5,54.0,81.0,71.0,65.0,54.0,64.5
69.0,82.0,52.0,82.0,70.0,65.0,53.0,65.0
68.0,83.0,51.0,83.0,67.5,66.0,51.0,66.0
67.0,84.0,49.0,84.0,67.0,68.0,50.0,68.0
66.0,85.0,48.5,85.5,66.0,68.0,49.0,69.0
65.0,86.5,48.0,86.0,65.0,69.0,48.0,70.0
64.0,87.5,47.0,87.0,64.0,71.0,47.0,71.5
63.0,89.0,46.0,89.0,63.0,72.0,46.0,72.0
62.0,90.0,45.0,91.0,62.5,73.5,46.0,74.0
62.0,92.0,44.5,92.0,62.0,75.0,45.0,75.5
61.0,93.0,44.0,93.5,61.5,76.5,45.0,77.0
61.0,95.0,44.0,95.0,61.0,77.5,44.5,78.0
61.0,96.0,43.5,96.5,61.0,79.0,44.5,79.5
61.0,98.0,43.5,98.0,61.0,80.5,44.5,81.0
61.0,99.0,43.5,99.5,61.0,82.0,44.5,82.0
61.0,100.5,44.0,101.0,61.0,83.5,44.5,84.0
61.0,103.0,44.0,103.0,61.5,85.0,45.0,85.0
62.0,104.0,45.0,104.0,62.0,86.5,46.0,87.0
62.5,106.5,45.0,106.0,62.5,88.5,46.0,89.0
63.0,107.0,46.0,108.0,63.0,89.0,47.0,90.0
64.5,109.0,47.0,109.0,64.0,91.0,48.0,91.0
65.5,110.5,48.0,110.0,65.5,92.5,49.5,92.5
67.0,111.5,50.0,112.0,67.0,93.0,50.0,94.0
68.0,113.0,51.0,113.0,67.5,94.5,51.5,94.5
69.5,114.5,52.0,114.0,69.0,96.0,53.5,96.0
71.0,115.5,54.0,115.5,71.0,97.0,54.0,97.0
73.0,117.0,56.0,116.0,72.0,98.0,56.0,98.0
75.0,118.5,57.0,118.0,74.0,99.0,58.0,99.0
76.0,119.0,59.0,119.0,76.0,100.0,60.0,100.0
78.0,120.0,61.0,119.5,77.0,101.0,61.0,100.0
80.0,121.0,63.0,121.0,79.0,102.0,63.0,101.0
83.0,122.0,65.0,122.0,81.5,102.5,65.0,102.0
85.0,123.0,67.0,122.0,83.0,103.0,67.0,102.0
86.0,124.0,69.0,122.0,85.0,104.0,68.5,103.0
88.0,124.0,71.0,123.0,86.0,104.0,70.0,103.0
90.0,125.0,73.0,124.0,88.0,105.0,72.0,104.0
92.0,125.0,75.0,124.0,90.0,105.0,73.5,104.5
94.0,126.0,76.0,124.0,92.0,106.0,75.5,104.5
96.0,126.0,78.0,124.0,93.5,106.5,77.0,104.0
97.0,126.0,79.5,123.5,95.5,106.5,78.0,104.0
100.0,126.0,81.5,123.5,97.0,106.0,80.0,104.0
101.0,125.5,83.0,123.0,98.0,106.0,81.0,104.0
102.0,125.0,84.0,123.0,99.5,105.5,82.5,103.0
104.0,125.0,85.5,122.5,100.5,105.0,83.5,102.5
105.0,124.0,86.5,121.5,101.5,104.5,85.0,102.0
106.0,123.0,88.0,121.0,103.0,104.0,86.0,102.0
107.0,122.0,88.0,119.5,104.0,103.0,86.0,101.0
108.0,121.5,89.0,119.0,105.0,102.0,87.5,100.5
108.5,120.5,89.5,118.0,105.0,102.0,87.5,98.5
109.0,119.0,89.5,116.5,105.5,100.5,87.5,98.5
109.0,118.0,90.0,115.0,106.0,99.0,88.0,97.0
109.0,116.5,89.5,114.5,105.5,98.5,88.0,96.0
108.0,115.0,89.5,112.5,105.5,97.0,87.5,94.5
108.0,113.0,89.5,111.5,105.0,95.5,88.0,93.0
107.0,112.0,89.0,110.0,105.0,94.0,87.5,92.5
